BattleId;losepick1;losepick2;losepick3;losepick4;losepick5
618610648199475776;Angela;Brody;Edith;Ling;Pharsa
617814773579656478;Estes;Fredrinn;Moskov;Pharsa;Silvanna
700274323141957841;Beatrix;Fanny;Kaja;Lolita;Valentina
699408277346456578;Brody;Freya;Julian;Lancelot;Silvanna
612670089953808069;Aldous;Franco;Fredrinn;Melissa;Valir
593088311849065812;Claude;Fanny;Gusion;Martis;Silvanna
589921877274850046;Beatrix;Khufra;Ling;Pharsa;Terizla
585934240658675107;Beatrix;Hayabusa;Hilda;Lancelot;Xavier
585021096251805632;Ling;Melissa;Minsitthar;Selena;Silvanna
583378176771802508;Atlas;Beatrix;Faramis;Martis;Terizla
644387362577736055;Akai;Claude;Esmeralda;Khufra;Valentina
643924536901917992;Diggie;Ling;Melissa;Roger;Valentina
643457910180042954;Aamon;Beatrix;Lapu-Lapu;Selena;Valentina
642898400495424361;Akai;Brody;Fanny;Xavier;Yu Zhong
642459317398818582;Argus;Clint;Hayabusa;Natalia;Valentina
641976507240172099;Atlas;Clint;Fredrinn;Kadita;Minsitthar
641542513679812036;Atlas;Clint;Edith;Hayabusa;Xavier
649540318310765930;Brody;Cecilion;Lapu-Lapu;Saber;Selena
633691884693549714;Aamon;Arlott;Clint;Kaja;Pharsa
714828700292795320;Aldous;Angela;Balmond;Moskov;Vale
714469215825086097;Balmond;Diggie;Hanzo;Kadita;Moskov
594605088139590278;Brody;Johnson;Martis;Terizla;Valir
680020700482975305;Hanabi;Lapu-Lapu;Martis;Tigreal;Xavier
679790872487997807;Aamon;Atlas;Badang;Bruno;Xavier
592586346136277766;Edith;Estes;Fanny;Hanabi;Zhask
592311549833711221;Atlas;Cecilion;Clint;Esmeralda;X.Borg
591248090161414252;Lapu-Lapu;Lesley;Nana;Paquito;Selena
590684581862242903;Carmilla;Claude;Kaja;Pharsa;Zilong
590215657332864443;Alpha;Belerick;Brody;Minsitthar;Valentina
589684296863903973;Aamon;Balmond;Clint;Tigreal;Vexana
588887868193303130;Kaja;Lapu-Lapu;Ling;Vexana;Wanwan
588089395118269563;Beatrix;Franco;Lancelot;Lancelot;Valentina
587398287635701651;Diggie;Gloo;Harley;Irithel;Lancelot
648338268633597640;Alice;Balmond;Brody;Franco;Paquito
647782937952158007;Aldous;Balmond;Kimmy;Moskov;Vale
641437974175827123;Balmond;Bruno;Diggie;Gloo;Nana
247528179656441460;Helcurt;Lolita;Melissa;Xavier;Yu Zhong
246891446459840574;Brody;Floryn;Helcurt;Lapu-Lapu;Valentina
246291074456367787;Claude;Floryn;Helcurt;Julian;Minsitthar
243901500681756072;Arlott;Franco;Hayabusa;Kimmy;Moskov
243162555853445006;Akai;Atlas;Badang;Karrie;Valentina
242569274840978137;Fredrinn;Helcurt;Khufra;Lesley;Valentina
239854885574672020;Hayabusa;Khufra;Lapu-Lapu;Lesley;Xavier
239186090447206827;Edith;Estes;Martis;Melissa;Pharsa
238260864297333467;Chou;Gord;Martis;Minsitthar;Popol and Kupa
232679923663356469;Brody;Helcurt;Kaja;Ruby;Xavier
232130880814037959;Brody;Cecilion;Gord;Helcurt;Julian
223952296714776732;Atlas;Benedetta;Hayabusa;Karrie;Xavier
223171579034545176;Grock;Lancelot;Lesley;Martis;Xavier
222313895540369257;Dyrroth;Faramis;Lesley;Lolita;Yi Sun-shin
221382746630595220;Franco;Hanzo;Lapu-Lapu;Luo Yi;Melissa
220041759056534509;Grock;Joy;Lapu-Lapu;Lesley;Xavier
665546467423884696;Brody;Esmeralda;Helcurt;Khufra;Valentina
647194587563988741;Clint;Eudora;Minsitthar;Selena;Yi Sun-shin
646442878092873888;Fredrinn;Pharsa;Phoveus;Selena;X.Borg
691292034699266931;Badang;Edith;Lesley;Natalia;Xavier
220869416434173506;Beatrix;Cecilion;Fredrinn;Martis;Mathilda
644418071595745554;Aldous;Claude;Cyclops;Kadita;Martis
688645304052774883;Edith;Gusion;Joy;Miya;Yve
641250541804874401;Badang;Cecilion;Layla;Selena;Yin
640632045039412755;Cyclops;Floryn;Fredrinn;Kaja;Moskov
640009532479529297;Cecilion;Chou;Clint;Edith;Fredrinn
253152898891724282;Beatrix;Bruno;Martis;Xavier;Yu Zhong
251392211408465278;Angela;Fredrinn;Ling;Wanwan;Xavier
249783041781474792;Bruno;Franco;Fredrinn;Lancelot;Nana
655964764753427274;Beatrix;Franco;Gloo;Kagura;Martis
220861341895496959;Franco;Lesley;Luo Yi;Sun;Yin
220498876720484364;Edith;Hayabusa;Khufra;Odette;Popol and Kupa
712155113217329901;Freya;Gloo;Minsitthar;Moskov;Xavier
286708653741565311;Aamon;Badang;Claude;Guinevere;Luo Yi
586657504563028368;Khufra;Lesley;Martis;Valentina;X.Borg
586045579097529652;Brody;Fanny;Freya;Natalia;Valentina
585249592808560569;Balmond;Cecilion;Faramis;Julian;Lesley
263561391356687814;Cyclops;Edith;Floryn;Melissa;Xavier
263282922857082759;Claude;Franco;Gloo;Ling;Yve
263013413659257454;Diggie;Gloo;Lancelot;Lesley;Pharsa
642039948204186225;Benedetta;Hanabi;Khaleed;Khufra;Yve
680077965283955253;Franco;Khaleed;Lancelot;Lesley;Valentina
241419271577668126;Clint;Diggie;Fredrinn;Khaleed;Pharsa
240827682782315963;Hanzo;Moskov;Ruby;Selena;Valentina
229109367026313127;Kaja;Khaleed;Saber;Wanwan;Yve
228868256152248790;Julian;Khaleed;Lylia;Natalia;Popol and Kupa
228629224042355954;Guinevere;Kadita;Martis;Melissa;Valentina
631073934624773738;Franco;Lancelot;Lapu-Lapu;Moskov;Yve
669451533293795069;Franco;Hayabusa;Khaleed;Lesley;Yve
627829941531127558;Beatrix;Chou;Diggie;Harley;Luo Yi
627272158423362118;Beatrix;Fredrinn;Lunox;Minsitthar;Zilong
626591522071061706;Argus;Brody;Cecilion;Fredrinn;Lolita
625866690505285431;Brody;Fanny;Hylos;Khaleed;Lylia
661516362171084770;Brody;Hilda;Kaja;Lancelot;Pharsa
616148171651858391;Brody;Gloo;Helcurt;Kaja;Xavier
247441051949371683;Aurora;Beatrix;Belerick;Lancelot;Yu Zhong
