BattleId;winpick1;winpick2;winpick3;winpick4;winpick5;losepick1;losepick2;losepick3;losepick4;losepick5
618610648199475776;Claude;Gord;Martis;Paquito;Silvanna;Angela;Brody;Edith;Ling;Pharsa
617814773579656478;Atlas;Lapu-Lapu;Lesley;Martis;Xavier;Estes;Fredrinn;Moskov;Pharsa;Silvanna
700274323141957841;Atlas;Gusion;Karina;Melissa;Silvanna;Beatrix;Fanny;Kaja;Lolita;Valentina
699408277346456578;Fredrinn;Kadita;Terizla;Valentina;Wanwan;Brody;Freya;Julian;Lancelot;Silvanna
612670089953808069;Arlott;Lesley;Lolita;Pharsa;Silvanna;Aldous;Franco;Fredrinn;Melissa;Valir
593088311849065812;Aldous;Alucard;Joy;Lolita;Moskov;Claude;Fanny;Gusion;Martis;Silvanna
589921877274850046;Brody;Estes;Gloo;Martis;Silvanna;Beatrix;Khufra;Ling;Pharsa;Terizla
585934240658675107;Melissa;Natalia;Ruby;Silvanna;Valentina;Beatrix;Hayabusa;Hilda;Lancelot;Xavier
585021096251805632;Franco;Hanabi;Martis;Valentina;X.Borg;Ling;Melissa;Minsitthar;Selena;Silvanna
583378176771802508;Estes;Granger;Lesley;Silvanna;Xavier;Atlas;Beatrix;Faramis;Martis;Terizla
644387362577736055;Aldous;Fanny;Lesley;Selena;Silvanna;Akai;Claude;Esmeralda;Khufra;Valentina
643924536901917992;Beatrix;Faramis;Martis;Silvanna;Yu Zhong;Diggie;Ling;Melissa;Roger;Valentina
643457910180042954;Aldous;Claude;Julian;Minsitthar;Silvanna;Aamon;Beatrix;Lapu-Lapu;Selena;Valentina
642898400495424361;Claude;Estes;Fredrinn;Lapu-Lapu;Silvanna;Akai;Brody;Fanny;Xavier;Yu Zhong
642459317398818582;Claude;Estes;Martis;Silvanna;Xavier;Argus;Clint;Hayabusa;Natalia;Valentina
641976507240172099;Aldous;Martis;Moskov;Silvanna;Xavier;Atlas;Clint;Fredrinn;Kadita;Minsitthar
641542513679812036;Aldous;Claude;Eudora;Ling;Silvanna;Atlas;Clint;Edith;Hayabusa;Xavier
649540318310765930;Balmond;Gusion;Layla;Moskov;Pharsa;Brody;Cecilion;Lapu-Lapu;Saber;Selena
633691884693549714;Balmond;Melissa;Odette;Sun;Valir;Aamon;Arlott;Clint;Kaja;Pharsa
714828700292795320;Arlott;Bruno;Franco;Harley;Valentina;Aldous;Angela;Balmond;Moskov;Vale
714469215825086097;Aurora;Karrie;Lapu-Lapu;Ling;Lolita;Balmond;Diggie;Hanzo;Kadita;Moskov
594605088139590278;Balmond;Kadita;Karrie;Minsitthar;Nana;Brody;Johnson;Martis;Terizla;Valir
680020700482975305;Harley;Khufra;Moskov;Pharsa;Yin;Hanabi;Lapu-Lapu;Martis;Tigreal;Xavier
679790872487997807;Estes;Hanabi;Harley;Lapu-Lapu;Lylia;Aamon;Atlas;Badang;Bruno;Xavier
592586346136277766;Balmond;Clint;Franco;Minsitthar;Xavier;Edith;Estes;Fanny;Hanabi;Zhask
592311549833711221;Hayabusa;Lapu-Lapu;Melissa;Tigreal;Valentina;Atlas;Cecilion;Clint;Esmeralda;X.Borg
591248090161414252;Arlott;Franco;Karina;Karrie;Vale;Lapu-Lapu;Lesley;Nana;Paquito;Selena
590684581862242903;Balmond;Beatrix;Dyrroth;Estes;Zhask;Carmilla;Claude;Kaja;Pharsa;Zilong
590215657332864443;Balmond;Estes;Gord;Lesley;Thamuz;Alpha;Belerick;Brody;Minsitthar;Valentina
589684296863903973;Kadita;Kagura;Melissa;Ruby;Saber;Aamon;Balmond;Clint;Tigreal;Vexana
588887868193303130;Beatrix;Estes;Ruby;Valentina;Yi Sun-shin;Kaja;Lapu-Lapu;Ling;Vexana;Wanwan
588089395118269563;Atlas;Balmond;Bane;Claude;Vexana;Beatrix;Franco;Lancelot;Lancelot;Valentina
587398287635701651;Cyclops;Floryn;Hanabi;Lapu-Lapu;Saber;Diggie;Gloo;Harley;Irithel;Lancelot
648338268633597640;Aldous;Cyclops;Khufra;Lancelot;Melissa;Alice;Balmond;Brody;Franco;Paquito
647782937952158007;Badang;Beatrix;Gloo;Ling;Xavier;Aldous;Balmond;Kimmy;Moskov;Vale
641437974175827123;Atlas;Claude;Lancelot;Xavier;Yu Zhong;Balmond;Bruno;Diggie;Gloo;Nana
247528179656441460;Brody;Franco;Martis;Pharsa;Terizla;Helcurt;Lolita;Melissa;Xavier;Yu Zhong
246891446459840574;Clint;Khufra;Kimmy;Minsitthar;Zhask;Brody;Floryn;Helcurt;Lapu-Lapu;Valentina
246291074456367787;Gloo;Khufra;Martis;Melissa;Pharsa;Claude;Floryn;Helcurt;Julian;Minsitthar
243901500681756072;Brody;Estes;Helcurt;Lapu-Lapu;Valentina;Arlott;Franco;Hayabusa;Kimmy;Moskov
243162555853445006;Beatrix;Fredrinn;Helcurt;Khufra;Pharsa;Akai;Atlas;Badang;Karrie;Valentina
242569274840978137;Brody;Dyrroth;Luo Yi;Minsitthar;Uranus;Fredrinn;Helcurt;Khufra;Lesley;Valentina
239854885574672020;Brody;Kaja;Minsitthar;Valentina;Yi Sun-shin;Hayabusa;Khufra;Lapu-Lapu;Lesley;Xavier
239186090447206827;Brody;Gloo;Helcurt;Kaja;Xavier;Edith;Estes;Martis;Melissa;Pharsa
238260864297333467;Claude;Helcurt;Khufra;Lapu-Lapu;Valentina;Chou;Gord;Martis;Minsitthar;Popol and Kupa
232679923663356469;Minsitthar;Pharsa;Terizla;Wanwan;Yi Sun-shin;Brody;Helcurt;Kaja;Ruby;Xavier
232130880814037959;Bruno;Cyclops;Kimmy;Thamuz;Tigreal;Brody;Cecilion;Gord;Helcurt;Julian
223952296714776732;Brody;Helcurt;Lolita;Terizla;Yve;Atlas;Benedetta;Hayabusa;Karrie;Xavier
223171579034545176;Aamon;Brody;Cyclops;Floryn;Helcurt;Grock;Lancelot;Lesley;Martis;Xavier
222313895540369257;Floryn;Gloo;Helcurt;Moskov;Xavier;Dyrroth;Faramis;Lesley;Lolita;Yi Sun-shin
221382746630595220;Claude;Helcurt;Lolita;Thamuz;Xavier;Franco;Hanzo;Lapu-Lapu;Luo Yi;Melissa
220041759056534509;Cecilion;Franco;Martis;Terizla;Wanwan;Grock;Joy;Lapu-Lapu;Lesley;Xavier
665546467423884696;Beatrix;Benedetta;Kaja;Minsitthar;Nana;Brody;Esmeralda;Helcurt;Khufra;Valentina
647194587563988741;Claude;Edith;Fredrinn;Kadita;Thamuz;Clint;Eudora;Minsitthar;Selena;Yi Sun-shin
646442878092873888;Akai;Aulus;Brody;Cecilion;Martis;Fredrinn;Pharsa;Phoveus;Selena;X.Borg
691292034699266931;Claude;Franco;Grock;Harley;Pharsa;Badang;Edith;Lesley;Natalia;Xavier
220869416434173506;Alucard;Argus;Gord;Layla;Lesley;Beatrix;Cecilion;Fredrinn;Martis;Mathilda
644418071595745554;Arlott;Franco;Helcurt;Lesley;Xavier;Aldous;Claude;Cyclops;Kadita;Martis
688645304052774883;Chou;Franco;Karrie;Lylia;Martis;Edith;Gusion;Joy;Miya;Yve
641250541804874401;Fredrinn;Kagura;Moskov;Natalia;Paquito;Badang;Cecilion;Layla;Selena;Yin
640632045039412755;Cecilion;Gloo;Hilda;Lesley;Martis;Cyclops;Floryn;Fredrinn;Kaja;Moskov
640009532479529297;Aulus;Bane;Claude;Hanabi;Lolita;Cecilion;Chou;Clint;Edith;Fredrinn
253152898891724282;Claude;Faramis;Franco;Fredrinn;Yi Sun-shin;Beatrix;Bruno;Martis;Xavier;Yu Zhong
251392211408465278;Aamon;Franco;Harley;Minsitthar;Popol and Kupa;Angela;Fredrinn;Ling;Wanwan;Xavier
249783041781474792;Cecilion;Fanny;Gloo;Khufra;Kimmy;Bruno;Franco;Fredrinn;Lancelot;Nana
655964764753427274;Clint;Estes;Gord;Hanzo;Yu Zhong;Beatrix;Franco;Gloo;Kagura;Martis
220861341895496959;Brody;Edith;Lolita;Minsitthar;Pharsa;Franco;Lesley;Luo Yi;Sun;Yin
220498876720484364;Aldous;Franco;Fredrinn;Lesley;Luo Yi;Edith;Hayabusa;Khufra;Odette;Popol and Kupa
712155113217329901;Alice;Arlott;Beatrix;Franco;Hanzo;Freya;Gloo;Minsitthar;Moskov;Xavier
286708653741565311;Beatrix;Estes;Hayabusa;Lapu-Lapu;Pharsa;Aamon;Badang;Claude;Guinevere;Luo Yi
