BattleId;winpick1;winpick2;winpick3;winpick4;winpick5
618610648199475776;Claude;Gord;Martis;Paquito;Silvanna
617814773579656478;Atlas;Lapu-Lapu;Lesley;Martis;Xavier
700274323141957841;Atlas;Gusion;Karina;Melissa;Silvanna
699408277346456578;Fredrinn;Kadita;Terizla;Valentina;Wanwan
612670089953808069;Arlott;Lesley;Lolita;Pharsa;Silvanna
593088311849065812;Aldous;Alucard;Joy;Lolita;Moskov
589921877274850046;Brody;Estes;Gloo;Martis;Silvanna
585934240658675107;Melissa;Natalia;Ruby;Silvanna;Valentina
585021096251805632;Franco;Hanabi;Martis;Valentina;X.Borg
583378176771802508;Estes;Granger;Lesley;Silvanna;Xavier
644387362577736055;Aldous;Fanny;Lesley;Selena;Silvanna
643924536901917992;Beatrix;Faramis;Martis;Silvanna;Yu Zhong
643457910180042954;Aldous;Claude;Julian;Minsitthar;Silvanna
642898400495424361;Claude;Estes;Fredrinn;Lapu-Lapu;Silvanna
642459317398818582;Claude;Estes;Martis;Silvanna;Xavier
641976507240172099;Aldous;Martis;Moskov;Silvanna;Xavier
641542513679812036;Aldous;Claude;Eudora;Ling;Silvanna
649540318310765930;Balmond;Gusion;Layla;Moskov;Pharsa
633691884693549714;Balmond;Melissa;Odette;Sun;Valir
714828700292795320;Arlott;Bruno;Franco;Harley;Valentina
714469215825086097;Aurora;Karrie;Lapu-Lapu;Ling;Lolita
594605088139590278;Balmond;Kadita;Karrie;Minsitthar;Nana
680020700482975305;Harley;Khufra;Moskov;Pharsa;Yin
679790872487997807;Estes;Hanabi;Harley;Lapu-Lapu;Lylia
592586346136277766;Balmond;Clint;Franco;Minsitthar;Xavier
592311549833711221;Hayabusa;Lapu-Lapu;Melissa;Tigreal;Valentina
591248090161414252;Arlott;Franco;Karina;Karrie;Vale
590684581862242903;Balmond;Beatrix;Dyrroth;Estes;Zhask
590215657332864443;Balmond;Estes;Gord;Lesley;Thamuz
589684296863903973;Kadita;Kagura;Melissa;Ruby;Saber
588887868193303130;Beatrix;Estes;Ruby;Valentina;Yi Sun-shin
588089395118269563;Atlas;Balmond;Bane;Claude;Vexana
587398287635701651;Cyclops;Floryn;Hanabi;Lapu-Lapu;Saber
648338268633597640;Aldous;Cyclops;Khufra;Lancelot;Melissa
647782937952158007;Badang;Beatrix;Gloo;Ling;Xavier
641437974175827123;Atlas;Claude;Lancelot;Xavier;Yu Zhong
247528179656441460;Brody;Franco;Martis;Pharsa;Terizla
246891446459840574;Clint;Khufra;Kimmy;Minsitthar;Zhask
246291074456367787;Gloo;Khufra;Martis;Melissa;Pharsa
243901500681756072;Brody;Estes;Helcurt;Lapu-Lapu;Valentina
243162555853445006;Beatrix;Fredrinn;Helcurt;Khufra;Pharsa
242569274840978137;Brody;Dyrroth;Luo Yi;Minsitthar;Uranus
239854885574672020;Brody;Kaja;Minsitthar;Valentina;Yi Sun-shin
239186090447206827;Brody;Gloo;Helcurt;Kaja;Xavier
238260864297333467;Claude;Helcurt;Khufra;Lapu-Lapu;Valentina
232679923663356469;Minsitthar;Pharsa;Terizla;Wanwan;Yi Sun-shin
232130880814037959;Bruno;Cyclops;Kimmy;Thamuz;Tigreal
223952296714776732;Brody;Helcurt;Lolita;Terizla;Yve
223171579034545176;Aamon;Brody;Cyclops;Floryn;Helcurt
222313895540369257;Floryn;Gloo;Helcurt;Moskov;Xavier
