ID,rank,finalWorth,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,gender,title,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
ID0001,1,211000,Bernard Arnault & family,74,France,Paris,LVMH,Fashion & Retail,France,LVMH Moët Hennessy Louis Vuitton,False,M,Chairman and CEO,,,1949,3,5,110.05,1.1,2715518274227,65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749
ID0002,2,180000,Elon Musk,51,United States,Austin,"Tesla, SpaceX",Automotive,United States,Tesla,True,M,CEO,Texas,South,1971,6,28,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0003,3,114000,Jeff Bezos,59,United States,Medina,Amazon,Technology,United States,Amazon,True,M,Chairman and Founder,Washington,West,1964,1,12,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0004,4,107000,Larry Ellison,78,United States,Lanai,Oracle,Technology,United States,Oracle,True,M,CTO and Founder,Hawaii,West,1944,8,17,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0005,5,106000,Warren Buffett,92,United States,Omaha,Berkshire Hathaway,Finance & Investments,United States,Berkshire Hathaway Inc. (Cl A),True,M,CEO,Nebraska,Midwest,1930,8,30,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0006,6,104000,Bill Gates,67,United States,Medina,Microsoft,Technology,United States,Bill & Melinda Gates Foundation,True,M,Cochair,Washington,West,1955,10,28,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0007,7,94500,Michael Bloomberg,81,United States,New York,Bloomberg LP,Media & Entertainment,United States,Bloomberg,True,M,CEO,New York,Northeast,1942,2,14,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0008,8,93000,Carlos Slim Helu & family,83,Mexico,Mexico City,Telecom,Telecom,Mexico,América Móvil,True,M,Honorary Chairman,,,1940,1,28,141.54,3.6,1258286717125,40.2,105.8,75,13.1,55.1,126014024,23.634501,-102.552784
ID0009,9,83400,Mukesh Ambani,65,India,Mumbai,Diversified,Diversified,India,Reliance Industries,False,M,Founder and Chairman,,,1957,4,19,180.44,7.7,2611000000000,28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
ID0010,10,80700,Steve Ballmer,67,United States,Hunts Point,Microsoft,Technology,United States,Los Angeles Clippers,True,M,Owner,Washington,West,1956,3,24,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0011,11,80500,Francoise Bettencourt Meyers & family,69,France,Paris,L'Oréal,Fashion & Retail,France,,False,F,,,,1953,7,10,110.05,1.1,2715518274227,65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749
ID0012,12,79200,Larry Page,50,United States,Palo Alto,Google,Technology,United States,Alphabet,True,M,Cofounder and board member,California,West,1973,3,26,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0013,13,77300,Amancio Ortega,87,Spain,La Coruna,Zara,Fashion & Retail,Spain,,True,M,,,,1936,3,28,110.96,0.7,1394116310769,88.9,102.7,83.3,14.2,47,47076781,40.463667,-3.74922
ID0014,14,76000,Sergey Brin,49,United States,Los Altos,Google,Technology,United States,Alphabet,True,M,Cofounder and board member,California,West,1973,8,21,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0015,15,68000,Zhong Shanshan,68,China,Hangzhou,"Beverages, pharmaceuticals",Food & Beverage,China,,True,M,,,,1954,12,1,125.08,2.9,19910000000000,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
ID0016,16,64400,Mark Zuckerberg,38,United States,Palo Alto,Facebook,Technology,United States,Meta Platforms,True,M,Cofounder,California,West,1984,5,14,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0017,17,59000,Charles Koch & family,87,United States,Wichita,Koch Industries,Diversified,United States,"Koch Industries, Inc.",False,M,Chairman and CEO,Kansas,Midwest,1935,11,1,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0018,17,59000,Julia Koch & family,60,United States,New York,Koch Industries,Diversified,United States,,False,F,,New York,Northeast,1962,4,12,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0019,19,58800,Jim Walton,74,United States,Bentonville,Walmart,Fashion & Retail,United States,"Arvest Bank Group, Inc.",False,M,Chairman and CEO,Arkansas,South,1948,6,7,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
